name,s_no,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,total_per_m,death_per_m,tests,tests_per_m,population
Sri Lanka,102,1950.0,,11.0,,1472.0,26.0,467.0,1.0,91.0,0.5,94260.0,4402.0,21410615.0
Mali,103,1923.0,,108.0,,1217.0,,598.0,,95.0,5.0,10532.0,521.0,20226093.0
Albania,104,1891.0,53.0,43.0,1.0,1126.0,12.0,722.0,7.0,657.0,15.0,20196.0,7018.0,2877881.0
South Sudan,105,1882.0,18.0,34.0,,122.0,,1726.0,2.0,168.0,3.0,9829.0,878.0,11189366.0
Nicaragua,106,1823.0,,64.0,,1238.0,,521.0,,275.0,10.0,,,6621929.0
Iceland,107,1822.0,3.0,10.0,,1801.0,,11.0,,5340.0,29.0,66542.0,195038.0,341175.0
Lithuania,108,1795.0,3.0,76.0,,1470.0,8.0,249.0,16.0,659.0,28.0,390457.0,143389.0,2723065.0
Equatorial Guinea,109,1664.0,,32.0,,515.0,,1117.0,,1188.0,23.0,16000.0,11421.0,1400925.0
Slovakia,110,1586.0,10.0,28.0,,1447.0,,111.0,,290.0,5.0,201651.0,36935.0,5459569.0
Guinea-Bissau,111,1541.0,,17.0,,153.0,,1371.0,5.0,784.0,9.0,1500.0,763.0,1966161.0
Lebanon,112,1536.0,26.0,32.0,,1006.0,46.0,498.0,8.0,225.0,5.0,114386.0,16757.0,6826209.0
Slovenia,113,1519.0,6.0,109.0,,1359.0,,51.0,1.0,731.0,52.0,93520.0,44985.0,2078930.0
New Zealand,114,1509.0,2.0,22.0,,1482.0,,5.0,,302.0,4.0,335167.0,67005.0,5002100.0
Madagascar,115,1503.0,60.0,13.0,,618.0,120.0,872.0,7.0,54.0,0.5,17905.0,647.0,27662042.0
Zambia,116,1430.0,,11.0,,1194.0,,225.0,1.0,78.0,0.6,47968.0,2612.0,18362345.0
Paraguay,117,1336.0,,13.0,,741.0,,582.0,1.0,187.0,2.0,54278.0,7613.0,7129602.0
Sierra Leone,118,1309.0,11.0,53.0,,746.0,14.0,510.0,,164.0,7.0,,,7970854.0
Tunisia,119,1156.0,10.0,50.0,,1017.0,3.0,89.0,,98.0,4.0,65515.0,5545.0,11814592.0
Hong Kong,120,1129.0,1.0,5.0,1.0,1077.0,3.0,47.0,3.0,151.0,0.7,301108.0,40174.0,7495075.0
Latvia,121,1111.0,1.0,30.0,,903.0,,178.0,1.0,589.0,16.0,136567.0,72386.0,1886653.0
Niger,122,1020.0,,67.0,,901.0,,52.0,,42.0,3.0,6379.0,264.0,24165814.0
Jordan,123,1015.0,7.0,9.0,,722.0,14.0,284.0,3.0,100.0,0.9,325155.0,31878.0,10199864.0
Cyprus,124,985.0,,19.0,,818.0,,148.0,4.0,816.0,16.0,145169.0,120264.0,1207087.0
Yemen,125,922.0,3.0,254.0,3.0,328.0,40.0,340.0,,31.0,9.0,120.0,4.0,29800547.0
Burkina Faso,126,901.0,1.0,53.0,,810.0,,38.0,,43.0,3.0,,,20879401.0
Georgia,127,898.0,2.0,14.0,,752.0,11.0,132.0,5.0,225.0,4.0,83734.0,20989.0,3989368.0
Congo,128,883.0,,27.0,,391.0,,465.0,,160.0,5.0,,,5512640.0
Cabo Verde,129,863.0,15.0,8.0,,377.0,,478.0,,1553.0,14.0,1307.0,2352.0,555789.0
Chad,130,858.0,,74.0,,746.0,4.0,38.0,,52.0,5.0,,,16405900.0
Andorra,131,855.0,,52.0,,792.0,,11.0,8.0,11066.0,673.0,3750.0,48536.0,77262.0
Uruguay,132,853.0,,24.0,,814.0,,15.0,4.0,246.0,7.0,56234.0,16190.0,3473381.0
Uganda,133,763.0,8.0,,,492.0,,271.0,,17.0,,155882.0,3413.0,45677488.0
Palestine,134,759.0,84.0,3.0,,437.0,,319.0,,149.0,0.6,44876.0,8805.0,5096747.0
Diamond Princess,135,712.0,,13.0,,651.0,,48.0,4.0,,,,,
San Marino,136,696.0,,42.0,,610.0,,44.0,,20513.0,1238.0,5501.0,162133.0,33929.0
Sao Tome and Principe,137,693.0,,12.0,,199.0,,482.0,,3164.0,55.0,1630.0,7443.0,219009.0
Mozambique,138,688.0,20.0,4.0,,177.0,,507.0,,22.0,0.1,23104.0,740.0,31218676.0
Malta,139,664.0,1.0,9.0,,616.0,3.0,39.0,,1504.0,20.0,87462.0,198098.0,441509.0
Rwanda,140,661.0,,2.0,,351.0,,308.0,,51.0,0.2,104889.0,8106.0,12939311.0
Jamaica,141,652.0,14.0,10.0,,458.0,,184.0,1.0,220.0,3.0,19617.0,6626.0,2960787.0
Benin,142,650.0,,11.0,,247.0,,392.0,2.0,54.0,0.9,53705.0,4435.0,12110190.0
Eswatini,143,623.0,,4.0,,276.0,,343.0,5.0,537.0,3.0,6551.0,5649.0,1159774.0
Malawi,144,620.0,,8.0,,91.0,,521.0,4.0,32.0,0.4,8904.0,466.0,19109795.0
Liberia,145,601.0,20.0,33.0,,254.0,4.0,314.0,,119.0,7.0,,,5052986.0
Channel Islands,146,570.0,,48.0,,512.0,,10.0,,3279.0,276.0,10255.0,59001.0,173812.0
Togo,147,555.0,,13.0,,361.0,,181.0,2.0,67.0,2.0,27338.0,3305.0,8271068.0
Libya,148,520.0,,10.0,,83.0,,427.0,,76.0,1.0,19061.0,2775.0,6868097.0
Tanzania,149,509.0,,21.0,,183.0,,305.0,7.0,9.0,0.4,,,59662353.0
Réunion,150,505.0,1.0,1.0,,460.0,,44.0,2.0,564.0,1.0,17200.0,19215.0,895115.0
Zimbabwe,151,479.0,,4.0,,63.0,,412.0,,32.0,0.3,52905.0,3561.0,14855416.0
Taiwan,152,446.0,,7.0,,434.0,,5.0,,19.0,0.3,74699.0,3137.0,23815562.0
Montenegro,153,359.0,4.0,9.0,,315.0,,35.0,,572.0,14.0,13186.0,20995.0,628064.0
Vietnam,154,349.0,,,,326.0,,23.0,1.0,4.0,,275000.0,2826.0,97310727.0
Mauritius,155,337.0,,10.0,,325.0,,2.0,,265.0,8.0,152194.0,119677.0,1271709.0
Isle of Man,156,336.0,,24.0,,312.0,,0.0,,3952.0,282.0,5867.0,69007.0,85020.0
Suriname,157,293.0,,8.0,,74.0,,211.0,2.0,500.0,14.0,1165.0,1986.0,586465.0
Myanmar,158,287.0,1.0,6.0,,196.0,4.0,85.0,,5.0,0.1,60128.0,1105.0,54398631.0
