,Name,Date,Configuration,Verified,Rating,Heading,Review
39,Shivakumar B M,2020-06-16,Fire TV Stick,True,1.0,Replace fire stick Remote unit,After receiving the product we find... Remote unit is not working
40,Atul Kaushik,2020-06-16,Fire TV Stick,True,1.0,Not for long term use,"I bought my first firestick and was impressed, so after couple of months bought another for different room. But after 10 months of buying first one, it started getting restart automatically by itself. And it was useless, so as it was under warranty I got it replaced. But for second one I started getting same problems after 12 months. That keep restarting, but warranty is finished so can't do anything. But replacement of first one was still working till recently when that too started restarting by itself. So, I used 3 of them and after a duration of 10 to 13 months all of them are useless and e-waste for me."
41,Kush Jaiswal,2020-06-16,Fire TV Stick,True,1.0,Extremely disappointed return procedure of replacement of the defective remote,"Very poor experience from amazon while returning the defective piece.
The new product was defective and took a lot of silly procedures to exchange it."
42,GANESH GUPTA,2020-06-16,Fire TV Stick,False,5.0,Excellent 👍 product,Please give me one fire tv stick free because l love them so much🤧🤧🤧
43,Amazon Customer,2020-06-16,Fire TV Stick,True,1.0,Fire tv stick is rebooting again and again,Product is not working . It  stucks in a loop that it is restarting again and again. But not reach to home screen
44,Sophiya Ujjainwala,2020-06-16,Fire TV Stick,True,1.0,I need to.contact customer service,It's not working on my tv
45,Ramesh S.,2020-06-16,Fire TV Stick,True,4.0,Alexa,Alexa voice control not working
46,Ritika,2020-06-16,Fire TV Stick,True,5.0,Excellent,My fire stick remote is not pairing the stick. I call amazon customer care remote paired with awsome guidance from customer care executive.
47,Vinay Sonkusale,2020-06-16,Fire TV Stick,True,5.0,Best to make ur TV Smart,"Really a great product.... No Software issues, No Bugs... Everything works well... Good connection between Remote and TV."
48,Amazon Customer,2020-06-16,Fire TV Stick,True,5.0,must purchase for non smart TVs,worth it... very good.
49,Shashank kumar,2020-06-16,Fire TV Stick,True,5.0,Nice product,Good quality product
50,Amazon Customer,2020-06-16,Fire TV Stick,True,5.0,Worn out AAA alkaline batteries delivered with amazon fire tv stick,The AAA batteries delivered with the order were already worn out and did not work at all. The amazon voice tv remote was not getting connected to fire tv stick because of discharged batteries. I had to use fresh pair of cells to activate the remote. Disappointed!
51,Ravi,2020-06-16,Fire TV Stick,True,5.0,awesome,awesome product alexa gives my led a new life 😊😊
52,Amol Deshmukh,2020-06-16,Fire TV Stick,True,5.0,Awesome,Just superb
53,Prosanna Bhattacharjee,2020-06-16,Fire TV Stick,True,5.0,Excellent,Excellent Product
54,Manu,2020-06-16,Fire TV Stick,True,1.0,Poor experience of amazon fire stick,It's not working
55,Mohammed Asgar Khan,2020-06-16,Fire TV Stick,True,5.0,Awesome........,I love it...I recommend it to everyone...easy to use...My kids love it...
56,S V Gokhale,2020-06-16,Fire TV Stick,True,5.0,Excellent Item,"Excellent Item
Easy to install and user friendly"
